code,name,mapped_to,type,resolution,climate,ozone,radiation,photo_ox,pm,ht_nc,ht_c,acid,e_fw,e_m,e_t,ecotox,land,water,energy,mater,cc_bio,cc_fos,cc_luc
26096,"Maquereau, filet sauce moutarde, appertisé, égoutté","Mackerel, fillet, in mustard sauce, canned, drained",,mapped,-0.081,-0.2265,-0.1768,-0.0294,-0.0613,1.463,-2.9309,0.0611,-0.0973,-0.021,-0.2028,23.2541,-0.0266,28.5465,1.1831,0.1447,-0.0728,0.0657,-0.0575
26097,"Maquereau, filet au vin blanc, appertisé, égoutté","Mackerel, fillet, in white wine, canned, drained",,mapped,-0.1168,-0.2267,-0.1568,0.0479,-0.104,1.6979,-2.1108,0.1002,-0.1333,0.385,0.2067,22.0559,0.1535,20.0384,1.2199,-0.0378,0.3312,-0.1392,0.0431
26098,"Morue, salée, sèche","Cod, salted, dried",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26099,"Dorade grise, ou daurade grise, ou griset, crue","Black seabream, raw",,mapped,-0.0621,-0.1809,0.1126,-0.0071,0.0268,0.3205,-1.8233,-0.0097,0.0761,0.0801,-0.1037,13.5407,0.1167,11.8121,1.2602,0.2539,0.0903,0.0595,-0.186
26100,"Bogue, crue","Bogue, raw",,mapped,0.2707,-0.213,-0.0267,0.1572,-0.0016,1.2124,-7.0182,-0.0794,0.1582,-0.074,0.1018,14.8014,0.0185,11.8394,0.7493,0.0005,-0.0875,0.0492,0.0
26101,"Bonite, crue","Bonito, raw",,mapped,0.0248,0.1161,-0.1293,-0.0162,0.0239,0.5943,-1.649,-0.1881,0.0695,-0.0075,-0.0376,15.3646,-0.0942,11.5764,1.1621,-0.082,-0.0774,0.0226,0.0165
26102,"Maquereau espagnol ou maquereau blanc ou billard, cru","Atlantic chub mackerel, raw",,mapped,0.1141,0.2795,-0.1844,0.1327,0.1023,0.8594,-5.0231,0.0093,-0.1247,0.1225,-0.1401,14.8715,-0.0573,13.3601,0.7713,-0.0631,0.0935,-0.1742,-0.0399
26103,"Denté, cru","Common dentex, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26104,"Saint-Pierre, cru","John dory, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26106,"Grondin, cru","Red gurnard, raw",,mapped,-0.0621,-0.1809,0.1126,-0.0071,0.0268,0.3205,-1.8233,-0.0097,0.0761,0.0801,-0.1037,13.5407,0.1167,11.8121,1.2602,0.2539,0.0903,0.0595,-0.186
26107,"Corb, cru","Brown meagre, raw",,mapped,-0.0025,-0.2994,0.087,0.0038,0.001,0.3465,-2.5317,0.0293,-0.0541,-0.0269,0.149,19.3089,0.2407,24.7664,0.9494,0.1702,-0.0502,-0.0983,0.023
